11:05:50.009 INFO  DatabaseEngine:65 - will manage database at /home/juan/spinwishes/reports/2023-03-23-11-04-52-302316/run_1/ds.sqlite3
11:05:50.092 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:0 Y:0 <--> /172.16.223.1:17893) for /172.16.223.5
11:05:50.092 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:0 Y:12 <--> /172.16.223.9:17893) for /172.16.223.5
11:05:50.093 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:4 Y:8 <--> /172.16.223.33:17893) for /172.16.223.5
11:05:50.093 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:4 Y:20 <--> /172.16.223.41:17893) for /172.16.223.5
11:05:50.093 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:8 Y:4 <--> /172.16.223.65:17893) for /172.16.223.5
11:05:50.093 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:8 Y:16 <--> /172.16.223.73:17893) for /172.16.223.5
11:05:50.093 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:12 Y:0 <--> /172.16.223.97:17893) for /172.16.223.5
11:05:50.093 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:12 Y:12 <--> /172.16.223.105:17893) for /172.16.223.5
11:05:50.093 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:16 Y:8 <--> /172.16.223.129:17893) for /172.16.223.5
11:05:50.094 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:16 Y:20 <--> /172.16.223.137:17893) for /172.16.223.5
11:05:50.094 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:20 Y:4 <--> /172.16.223.161:17893) for /172.16.223.5
11:05:50.094 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:20 Y:16 <--> /172.16.223.169:17893) for /172.16.223.5
11:05:50.094 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:24 Y:0 <--> /172.16.223.177:17893) for /172.16.223.5
11:05:50.094 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:28 Y:8 <--> /172.16.223.145:17893) for /172.16.223.5
11:05:50.094 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:28 Y:20 <--> /172.16.223.153:17893) for /172.16.223.5
11:05:50.094 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:32 Y:4 <--> /172.16.223.113:17893) for /172.16.223.5
11:05:50.095 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:32 Y:16 <--> /172.16.223.121:17893) for /172.16.223.5
11:05:50.095 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:36 Y:0 <--> /172.16.223.81:17893) for /172.16.223.5
11:05:50.095 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:36 Y:12 <--> /172.16.223.89:17893) for /172.16.223.5
11:05:50.095 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:40 Y:8 <--> /172.16.223.49:17893) for /172.16.223.5
11:05:50.095 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:40 Y:20 <--> /172.16.223.57:17893) for /172.16.223.5
11:05:50.095 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:44 Y:4 <--> /172.16.223.17:17893) for /172.16.223.5
11:05:50.095 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:44 Y:16 <--> /172.16.223.25:17893) for /172.16.223.5
11:05:50.140 INFO  HostExecuteDataSpecification:276 (board:36,12) loading data onto X:36 Y:12 (1016 bytes at 0x60240018)
11:05:50.140 INFO  HostExecuteDataSpecification:276 (board:4,8) loading data onto X:4 Y:8 (1016 bytes at 0x60240018)
11:05:50.140 INFO  HostExecuteDataSpecification:276 (board:44,16) loading data onto X:44 Y:16 (1016 bytes at 0x60240018)
11:05:50.140 INFO  HostExecuteDataSpecification:276 (board:32,16) loading data onto X:32 Y:16 (1016 bytes at 0x60240018)
11:05:50.140 INFO  HostExecuteDataSpecification:276 (board:0,12) loading data onto X:0 Y:12 (1016 bytes at 0x60240018)
11:05:50.140 INFO  HostExecuteDataSpecification:276 (board:16,20) loading data onto X:16 Y:20 (1016 bytes at 0x60240018)
11:05:50.140 INFO  HostExecuteDataSpecification:276 (board:20,16) loading data onto X:20 Y:16 (1016 bytes at 0x60240018)
11:05:50.142 INFO  HostExecuteDataSpecification:276 (board:24,0) loading data onto X:24 Y:0 (1016 bytes at 0x60240018)
11:05:50.144 INFO  HostExecuteDataSpecification:276 (board:8,4) loading data onto X:8 Y:4 (1016 bytes at 0x60240018)
11:05:50.145 INFO  HostExecuteDataSpecification:276 (board:4,20) loading data onto X:4 Y:20 (1016 bytes at 0x60240018)
11:05:50.148 INFO  HostExecuteDataSpecification:276 (board:20,4) loading data onto X:20 Y:4 (1016 bytes at 0x60240018)
11:05:50.150 INFO  HostExecuteDataSpecification:276 (board:40,8) loading data onto X:40 Y:8 (1016 bytes at 0x60240018)
11:05:50.153 INFO  HostExecuteDataSpecification:276 (board:36,0) loading data onto X:36 Y:0 (1016 bytes at 0x60240018)
11:05:50.155 INFO  HostExecuteDataSpecification:276 (board:40,20) loading data onto X:40 Y:20 (1016 bytes at 0x60240018)
11:05:50.157 INFO  HostExecuteDataSpecification:276 (board:12,12) loading data onto X:12 Y:12 (1016 bytes at 0x60240018)
11:05:50.159 INFO  HostExecuteDataSpecification:276 (board:8,16) loading data onto X:8 Y:16 (1016 bytes at 0x60240018)
11:05:50.161 INFO  HostExecuteDataSpecification:276 (board:32,4) loading data onto X:32 Y:4 (1016 bytes at 0x60240018)
11:05:50.164 INFO  HostExecuteDataSpecification:276 (board:44,4) loading data onto X:44 Y:4 (1016 bytes at 0x60240018)
11:05:50.166 INFO  HostExecuteDataSpecification:276 (board:16,8) loading data onto X:16 Y:8 (1016 bytes at 0x60240018)
11:05:50.167 INFO  HostExecuteDataSpecification:276 (board:32,4) loading data onto X:32 Y:4 (1052 bytes at 0x60240418)
11:05:50.169 INFO  HostExecuteDataSpecification:276 (board:8,16) loading data onto X:8 Y:16 (1052 bytes at 0x60240418)
11:05:50.170 INFO  HostExecuteDataSpecification:276 (board:40,20) loading data onto X:40 Y:20 (1052 bytes at 0x60240418)
11:05:50.173 INFO  HostExecuteDataSpecification:276 (board:0,0) loading data onto X:0 Y:0 (1016 bytes at 0x60240018)
11:05:50.175 INFO  HostExecuteDataSpecification:276 (board:20,4) loading data onto X:20 Y:4 (1052 bytes at 0x60240418)
11:05:50.175 INFO  HostExecuteDataSpecification:276 (board:4,20) loading data onto X:4 Y:20 (1052 bytes at 0x60240418)
11:05:50.176 INFO  HostExecuteDataSpecification:276 (board:28,20) loading data onto X:28 Y:20 (1016 bytes at 0x60240018)
11:05:50.177 INFO  HostExecuteDataSpecification:276 (board:8,4) loading data onto X:8 Y:4 (1052 bytes at 0x60240418)
11:05:50.178 INFO  HostExecuteDataSpecification:276 (board:24,0) loading data onto X:24 Y:0 (1052 bytes at 0x60240418)
11:05:50.179 INFO  HostExecuteDataSpecification:276 (board:8,4) loading data onto X:8 Y:5 (1052 bytes at 0x60240018)
11:05:50.181 INFO  HostExecuteDataSpecification:276 (board:24,0) loading data onto X:24 Y:1 (1052 bytes at 0x60240018)
11:05:50.181 INFO  HostExecuteDataSpecification:276 (board:16,20) loading data onto X:16 Y:20 (1052 bytes at 0x60240418)
11:05:50.183 INFO  HostExecuteDataSpecification:276 (board:44,16) loading data onto X:44 Y:16 (1052 bytes at 0x60240418)
11:05:50.186 INFO  HostExecuteDataSpecification:276 (board:4,8) loading data onto X:4 Y:8 (1052 bytes at 0x60240418)
11:05:50.186 INFO  HostExecuteDataSpecification:276 (board:28,8) loading data onto X:28 Y:8 (1016 bytes at 0x60240018)
11:05:50.187 INFO  HostExecuteDataSpecification:276 (board:12,0) loading data onto X:12 Y:0 (1016 bytes at 0x60240018)
11:05:50.188 INFO  HostExecuteDataSpecification:276 (board:44,16) loading data onto X:44 Y:17 (1052 bytes at 0x60240018)
11:05:50.188 INFO  HostExecuteDataSpecification:276 (board:20,16) loading data onto X:20 Y:16 (1052 bytes at 0x60240418)
11:05:50.189 INFO  HostExecuteDataSpecification:276 (board:36,12) loading data onto X:36 Y:12 (1052 bytes at 0x60240418)
