x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
0	0	0x602439c0	12	0.001154	0.079365	[]
0	0	0x602439cc	4	0.000459	0.066449	[]
0	0	0x602439d0	1224	0.000838	11.140633	[]
0	0	0x60243e98	24	0.000439	0.417255	[]
0	0	0x602549a0	12	0.000451	0.202944	[]
0	0	0x602549ac	156	0.000428	2.778970	[]
0	0	0x602551cc	4	0.000431	0.070749	[]
0	0	0x602551d0	36	0.000389	0.705350	[]
0	0	0x602551f4	32	0.000404	0.604304	[]
0	0	0x6027c598	4	0.000451	0.067610	[]
0	0	0x6027c59c	184	0.000449	3.127679	[]
0	0	0x6027c658	516	0.000470	8.373910	[]
0	0	0x6027c85c	4	0.000456	0.066856	[]
0	0	0x6027cd68	76	0.000444	1.305303	[]
0	0	0x6027d6c8	12	0.000368	0.249026	[]
0	0	0x6027d6d4	156	0.000438	2.715868	[]
0	0	0x6027def4	4	0.000468	0.065244	[]
0	0	0x6027def8	36	0.000448	0.612635	[]
0	0	0x6027df1c	32	0.000438	0.557101	[]
0	0	0x602a52c0	4	0.000434	0.070292	[]
0	0	0x602a52c4	184	0.000442	3.173001	[]
0	0	0x602a5380	516	0.000542	7.260006	[]
0	0	0x602a5584	4	0.000442	0.069103	[]
0	0	0x602a5a90	76	0.000386	1.500322	[]
0	0	0x602a63f0	12	0.000429	0.213398	[]
0	0	0x602a63fc	156	0.000437	2.725139	[]
0	0	0x602a6c1c	4	0.000431	0.070822	[]
0	0	0x602a6c20	36	0.000450	0.610495	[]
0	0	0x602a6c44	32	0.000448	0.544625	[]
0	0	0x602cdfe8	4	0.000442	0.068987	[]
0	0	0x602cdfec	184	0.000438	3.206924	[]
0	0	0x602ce0a8	516	0.000529	7.437631	[]
0	0	0x602ce2ac	4	0.000569	0.053635	[]
0	0	0x602ce7b8	76	0.000424	1.366328	[]
0	0	0x602cf118	12	0.000414	0.220937	[]
0	0	0x602cf124	156	0.000414	2.873359	[]
0	0	0x602cf944	4	0.000424	0.072050	[]
0	0	0x602cf948	36	0.000416	0.660581	[]
0	0	0x602cf96c	32	0.000424	0.575854	[]
0	0	0x602f6d10	4	0.000405	0.075335	[]
0	0	0x602f6d14	184	0.000412	3.405038	[]
0	0	0x602f6dd0	516	0.000527	7.473210	[]
0	0	0x602f6fd4	4	0.000409	0.074697	[]
0	0	0x602f74e0	76	0.000404	1.433480	[]
0	0	0x602f7e40	12	0.000415	0.220586	[]
0	0	0x602f7e4c	156	0.000421	2.825212	[]
0	0	0x602f866c	4	0.000450	0.067809	[]
0	0	0x602f8670	36	0.000451	0.608441	[]
0	0	0x602f8694	32	0.000426	0.573433	[]
0	0	0x6031fa38	4	0.000423	0.072124	[]
0	0	0x6031fa3c	184	0.000399	3.522617	[]
0	0	0x6031faf8	516	0.000514	7.653363	[]
0	0	0x6031fcfc	4	0.000416	0.073437	[]
0	0	0x60320208	76	0.000430	1.347721	[]
0	0	0x60320b68	12	0.000441	0.207488	[]
0	0	0x60320b74	156	0.000456	2.609695	[]
0	0	0x60321394	4	0.000460	0.066358	[]
0	0	0x60321398	36	0.000442	0.621127	[]
0	0	0x603213bc	32	0.000442	0.552201	[]
0	0	0x60348760	4	0.000434	0.070286	[]
0	0	0x60348764	184	0.000423	3.321893	[]
0	0	0x60348820	516	0.000528	7.454672	[]
0	0	0x60348a24	4	0.000419	0.072875	[]
0	0	0x60348f30	76	0.000403	1.440284	[]
0	0	0x60349890	12	0.000397	0.230639	[]
0	0	0x6034989c	156	0.000409	2.908190	[]
0	0	0x6034a0bc	4	0.000395	0.077206	[]
0	0	0x6034a0c0	36	0.000405	0.677494	[]
0	0	0x6034a0e4	32	0.000394	0.620334	[]
0	0	0x60371488	4	0.000391	0.078026	[]
0	0	0x6037148c	184	0.000393	3.570724	[]
0	0	0x60371548	516	0.000512	7.692245	[]
0	0	0x6037174c	4	0.000446	0.068365	[]
0	0	0x60371c58	76	0.000419	1.385164	[]
0	0	0x603725b8	12	0.000385	0.237760	[]
0	0	0x603725c4	156	0.000368	3.236636	[]
0	0	0x60372de4	4	0.000392	0.077912	[]
0	0	0x60372de8	36	0.000402	0.683701	[]
0	0	0x60372e0c	32	0.000406	0.600602	[]
0	0	0x6039a1b0	4	0.000418	0.072964	[]
0	0	0x6039a1b4	184	0.000394	3.564748	[]
0	0	0x6039a270	516	0.000497	7.915265	[]
0	0	0x6039a474	4	0.000399	0.076469	[]
0	0	0x6039a980	76	0.000394	1.473219	[]
0	0	0x6039b2e0	12	0.000385	0.237902	[]
0	0	0x6039b2ec	156	0.000378	3.151365	[]
0	0	0x6039bb0c	4	0.000371	0.082321	[]
0	0	0x6039bb10	36	0.000379	0.724667	[]
0	0	0x6039bb34	32	0.000373	0.654545	[]
0	0	0x603c2ed8	4	0.000370	0.082481	[]
0	0	0x603c2edc	184	0.000391	3.587707	[]
0	0	0x603c2f98	516	0.000488	8.059170	[]
0	0	0x603c319c	4	0.000385	0.079274	[]
0	0	0x603c36a8	76	0.000374	1.548814	[]
0	0	0x603c4008	12	0.000376	0.243263	[]
0	0	0x603c4014	156	0.000378	3.145868	[]
0	0	0x603c4834	4	0.000376	0.081144	[]
0	0	0x603c4838	36	0.000386	0.712449	[]
0	0	0x603c485c	32	0.000377	0.646913	[]
0	0	0x603ebc00	4	0.000375	0.081388	[]
0	0	0x603ebc04	184	0.000376	3.730726	[]
0	0	0x603ebcc0	516	0.000479	8.211453	[]
0	0	0x603ebec4	4	0.000371	0.082362	[]
0	0	0x603ec3d0	76	0.000367	1.578841	[]
0	0	0x603ecd30	12	0.000366	0.250457	[]
0	0	0x603ecd3c	156	0.000335	3.549275	[]
0	0	0x603ed55c	4	0.000381	0.080054	[]
0	0	0x603ed560	36	0.000374	0.735357	[]
0	0	0x603ed584	32	0.000381	0.641289	[]
0	0	0x60414928	4	0.000371	0.082175	[]
0	0	0x6041492c	184	0.000364	3.853938	[]
0	0	0x604149e8	516	0.000461	8.535127	[]
0	0	0x60414bec	4	0.000361	0.084578	[]
0	0	0x604150f8	76	0.000334	1.733886	[]
0	0	0x60415a58	12	0.000353	0.259112	[]
0	0	0x60415a64	156	0.000372	3.202066	[]
0	0	0x60416284	4	0.000370	0.082502	[]
0	0	0x60416288	36	0.000356	0.771289	[]
0	0	0x604162ac	32	0.000366	0.667702	[]
0	0	0x6043d650	4	0.000358	0.085149	[]
0	0	0x6043d654	184	0.000370	3.796201	[]
0	0	0x6043d710	516	0.000466	8.440139	[]
0	0	0x6043d914	4	0.000379	0.080621	[]
0	0	0x6043de20	76	0.000360	1.609564	[]
0	0	0x6043e780	12	0.000354	0.258316	[]
0	0	0x6043e78c	156	0.000364	3.266035	[]
0	0	0x6043efac	4	0.000361	0.084651	[]
0	0	0x6043efb0	36	0.000361	0.760020	[]
0	0	0x6043efd4	32	0.000370	0.660655	[]
0	0	0x60466378	4	0.000361	0.084449	[]
0	0	0x6046637c	184	0.000355	3.950251	[]
0	0	0x60466438	516	0.000477	8.245852	[]
0	0	0x6046663c	4	0.000359	0.085125	[]
0	0	0x60466b48	76	0.000356	1.630887	[]
0	0	0x604674a8	12	0.000353	0.259090	[]
0	0	0x604674b4	156	0.000367	3.241573	[]
0	0	0x60467cd4	4	0.000356	0.085708	[]
0	0	0x60467cd8	36	0.000363	0.757590	[]
0	0	0x60467cfc	32	0.000360	0.677711	[]
0	0	0x6048f0a0	4	0.000363	0.084130	[]
0	0	0x6048f0a4	184	0.000360	3.896200	[]
0	0	0x6048f160	516	0.000423	9.300776	[]
0	0	0x6048f364	4	0.000358	0.085175	[]
0	0	0x6048f870	76	0.000361	1.608180	[]
1	0	0x60253d00	12	0.000353	0.259310	[]
1	0	0x60253d0c	156	0.000361	3.292963	[]
1	0	0x6025452c	4	0.000362	0.084384	[]
1	0	0x60254530	36	0.000340	0.808408	[]
1	0	0x60254554	32	0.000372	0.655740	[]
1	0	0x6027b8f8	4	0.000363	0.084179	[]
1	0	0x6027b8fc	184	0.000369	3.804535	[]
1	0	0x6027b9b8	516	0.000468	8.412561	[]
1	0	0x6027bbbc	4	0.000360	0.084837	[]
1	0	0x6027c0c8	76	0.000361	1.606446	[]
1	0	0x6027ca28	12	0.000360	0.254524	[]
1	0	0x6027ca34	156	0.000399	2.983938	[]
1	0	0x6027d254	4	0.000405	0.075283	[]
1	0	0x6027d258	36	0.000404	0.680514	[]
1	0	0x6027d27c	32	0.000408	0.598086	[]
1	0	0x602a4620	4	0.000399	0.076548	[]
1	0	0x602a4624	184	0.000400	3.509408	[]
1	0	0x602a46e0	516	0.000502	7.838357	[]
1	0	0x602a48e4	4	0.000407	0.074907	[]
1	0	0x602a4df0	76	0.000408	1.420556	[]
1	0	0x602a5750	12	0.000353	0.259296	[]
1	0	0x602a575c	156	0.000362	3.288959	[]
1	0	0x602a5f7c	4	0.000340	0.089741	[]
1	0	0x602a5f80	36	0.000374	0.733611	[]
1	0	0x602a5fa4	32	0.000371	0.657559	[]
1	0	0x602cd348	4	0.000388	0.078712	[]
1	0	0x602cd34c	184	0.000381	3.686733	[]
1	0	0x602cd408	516	0.000464	8.478694	[]
1	0	0x602cd60c	4	0.000370	0.082504	[]
1	0	0x602cdb18	76	0.000355	1.632310	[]
1	0	0x602ce478	12	0.000356	0.257082	[]
1	0	0x602ce484	156	0.000362	3.284693	[]
1	0	0x602ceca4	4	0.000356	0.085682	[]
1	0	0x602ceca8	36	0.000358	0.766703	[]
1	0	0x602ceccc	32	0.000356	0.686535	[]
1	0	0x602f6070	4	0.000386	0.079056	[]
1	0	0x602f6074	184	0.000361	3.886492	[]
1	0	0x602f6130	516	0.000465	8.469737	[]
1	0	0x602f6334	4	0.000357	0.085385	[]
1	0	0x602f6840	76	0.000354	1.636687	[]
1	0	0x602f71a0	12	0.000349	0.262109	[]
1	0	0x602f71ac	156	0.000353	3.370552	[]
1	0	0x602f79cc	4	0.000357	0.085420	[]
1	0	0x602f79d0	36	0.000355	0.774291	[]
1	0	0x602f79f4	32	0.000364	0.670397	[]
1	0	0x6031ed98	4	0.000361	0.084529	[]
1	0	0x6031ed9c	184	0.000357	3.937608	[]
1	0	0x6031ee58	516	0.000473	8.323609	[]
1	0	0x6031f05c	4	0.000358	0.085320	[]
1	0	0x6031f568	76	0.000363	1.597854	[]
1	0	0x6031fec8	12	0.000353	0.259479	[]
1	0	0x6031fed4	156	0.000359	3.316730	[]
1	0	0x603206f4	4	0.000360	0.084676	[]
1	0	0x603206f8	36	0.000359	0.765954	[]
1	0	0x6032071c	32	0.000355	0.687676	[]
1	0	0x60347ac0	4	0.000355	0.085918	[]
1	0	0x60347ac4	184	0.000352	3.991687	[]
1	0	0x60347b80	516	0.000457	8.615257	[]
1	0	0x60347d84	4	0.000355	0.086001	[]
1	0	0x60348290	76	0.000355	1.631667	[]
1	0	0x60348bf0	12	0.000355	0.257632	[]
1	0	0x60348bfc	156	0.000355	3.356294	[]
1	0	0x6034941c	4	0.000355	0.086069	[]
1	0	0x60349420	36	0.000352	0.781271	[]
1	0	0x60349444	32	0.000354	0.689326	[]
1	0	0x603707e8	4	0.000345	0.088538	[]
1	0	0x603707ec	184	0.000352	3.986473	[]
