x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
0	0	0x602439c0	12	0.001221	0.074951	[]
0	0	0x602439cc	4	0.000470	0.064953	[]
0	0	0x602439d0	1224	0.000895	10.434246	[]
0	0	0x60243e98	24	0.000415	0.441461	[]
0	0	0x602549a0	12	0.000405	0.226072	[]
0	0	0x602549ac	156	0.000395	3.016633	[]
0	0	0x602551cc	4	0.000406	0.075075	[]
0	0	0x602551d0	36	0.000486	0.564999	[]
0	0	0x602551f4	32	0.000405	0.603411	[]
0	0	0x6027c598	4	0.000418	0.073017	[]
0	0	0x6027c59c	184	0.000478	2.939772	[]
0	0	0x6027c658	516	0.000580	6.782934	[]
0	0	0x6027c85c	4	0.000424	0.071992	[]
0	0	0x6027cd68	76	0.000455	1.273459	[]
0	0	0x6027d6c8	12	0.000375	0.244179	[]
0	0	0x6027d6d4	156	0.000439	2.713410	[]
0	0	0x6027def4	4	0.000481	0.063475	[]
0	0	0x6027def8	36	0.000465	0.590737	[]
0	0	0x6027df1c	32	0.000443	0.551417	[]
0	0	0x602a52c0	4	0.000435	0.070161	[]
0	0	0x602a52c4	184	0.000448	3.135447	[]
0	0	0x602a5380	516	0.000550	7.163203	[]
0	0	0x602a5584	4	0.000406	0.075092	[]
0	0	0x602a5a90	76	0.000443	1.309170	[]
0	0	0x602a63f0	12	0.000439	0.208519	[]
0	0	0x602a63fc	156	0.000433	2.750589	[]
0	0	0x602a6c1c	4	0.000377	0.080858	[]
0	0	0x602a6c20	36	0.000458	0.599073	[]
0	0	0x602a6c44	32	0.000421	0.580428	[]
0	0	0x602cdfe8	4	0.000389	0.078485	[]
0	0	0x602cdfec	184	0.000440	3.193290	[]
0	0	0x602ce0a8	516	0.000521	7.558613	[]
0	0	0x602ce2ac	4	0.000399	0.076402	[]
0	0	0x602ce7b8	76	0.000455	1.273235	[]
0	0	0x602cf118	12	0.000412	0.222199	[]
0	0	0x602cf124	156	0.000361	3.299463	[]
0	0	0x602cf944	4	0.000426	0.071609	[]
0	0	0x602cf948	36	0.000426	0.644524	[]
0	0	0x602cf96c	32	0.000447	0.546577	[]
0	0	0x602f6d10	4	0.000413	0.073838	[]
0	0	0x602f6d14	184	0.000415	3.381677	[]
0	0	0x602f6dd0	516	0.000506	7.779989	[]
0	0	0x602f6fd4	4	0.000482	0.063338	[]
0	0	0x602f74e0	76	0.000479	1.210075	[]
0	0	0x602f7e40	12	0.000453	0.202102	[]
0	0	0x602f7e4c	156	0.000478	2.489605	[]
0	0	0x602f866c	4	0.000502	0.060850	[]
0	0	0x602f8670	36	0.000457	0.601026	[]
0	0	0x602f8694	32	0.000433	0.564158	[]
0	0	0x6031fa38	4	0.000420	0.072626	[]
0	0	0x6031fa3c	184	0.000423	3.315154	[]
0	0	0x6031faf8	516	0.000524	7.508144	[]
0	0	0x6031fcfc	4	0.000377	0.080980	[]
0	0	0x60320208	76	0.000378	1.535854	[]
0	0	0x60320b68	12	0.000458	0.199896	[]
0	0	0x60320b74	156	0.000469	2.539810	[]
0	0	0x60321394	4	0.000460	0.066313	[]
0	0	0x60321398	36	0.000438	0.626641	[]
0	0	0x603213bc	32	0.000451	0.541221	[]
0	0	0x60348760	4	0.000438	0.069640	[]
0	0	0x60348764	184	0.000406	3.455427	[]
0	0	0x60348820	516	0.000524	7.507714	[]
0	0	0x60348a24	4	0.000454	0.067215	[]
0	0	0x60348f30	76	0.000412	1.406026	[]
0	0	0x60349890	12	0.000402	0.227674	[]
0	0	0x6034989c	156	0.000412	2.889284	[]
0	0	0x6034a0bc	4	0.000396	0.077004	[]
0	0	0x6034a0c0	36	0.000411	0.668704	[]
0	0	0x6034a0e4	32	0.000408	0.599012	[]
0	0	0x60371488	4	0.000407	0.075064	[]
0	0	0x6037148c	184	0.000405	3.462680	[]
0	0	0x60371548	516	0.000465	8.472325	[]
0	0	0x6037174c	4	0.000416	0.073435	[]
0	0	0x60371c58	76	0.000426	1.361841	[]
0	0	0x603725b8	12	0.000390	0.234630	[]
0	0	0x603725c4	156	0.000431	2.762208	[]
0	0	0x60372de4	4	0.000425	0.071789	[]
0	0	0x60372de8	36	0.000418	0.657310	[]
0	0	0x60372e0c	32	0.000433	0.564080	[]
0	0	0x6039a1b0	4	0.000391	0.078126	[]
0	0	0x6039a1b4	184	0.000379	3.702896	[]
0	0	0x6039a270	516	0.000493	7.985784	[]
0	0	0x6039a474	4	0.000404	0.075519	[]
0	0	0x6039a980	76	0.000379	1.528929	[]
