Tags actually read off the machine
==================================
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=7, port=52015, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=8, port=55306, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=7, port=52015, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=8, port=57699, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.97, destination_x=12, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.97, destination_x=12, destination_y=0, tag=9, port=56027, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=8, port=35251, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=9, port=35251, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=10, port=35251, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=11, port=35251, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=12, port=35251, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=13, port=35251, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=14, port=35251, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=8, port=55120, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=9, port=55120, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=10, port=55120, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=11, port=55120, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=12, port=55120, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=8, port=33293, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=9, port=33293, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=10, port=33293, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=11, port=33293, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=12, port=33293, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=13, port=33293, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=14, port=33293, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=8, port=53045, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=9, port=53045, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=10, port=53045, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=11, port=53045, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=12, port=53045, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=8, port=49026, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=9, port=49026, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=10, port=49026, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=11, port=49026, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=12, port=49026, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=13, port=49026, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=14, port=49026, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=8, port=52046, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
