x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
0	0	0x602439c0	12	0.001682	0.054432	[]
0	0	0x602439cc	4	0.000452	0.067458	[]
0	0	0x602439d0	1184	0.000647	13.952337	[]
0	0	0x60243e70	24	0.000434	0.422133	[]
0	0	0x60260920	12	0.000444	0.206413	[]
0	0	0x6026092c	156	0.000399	2.985682	[]
0	0	0x6026114c	4	0.000473	0.064483	[]
0	0	0x60261150	36	0.000494	0.555975	[]
0	0	0x60261174	32	0.000446	0.546932	[]
0	0	0x602a1348	4	0.000396	0.077119	[]
0	0	0x602a134c	184	0.000451	3.110437	[]
0	0	0x602a1408	516	0.000464	8.479076	[]
0	0	0x602a160c	4	0.000531	0.057479	[]
0	0	0x602a1e34	76	0.000428	1.354809	[]
0	0	0x602a2794	12	0.000446	0.205444	[]
0	0	0x602a27a0	156	0.000425	2.797659	[]
0	0	0x602a2fc0	4	0.000434	0.070386	[]
0	0	0x602a2fc4	36	0.000433	0.633682	[]
0	0	0x602a2fe8	32	0.000439	0.555620	[]
0	0	0x602e31bc	4	0.000424	0.071939	[]
0	0	0x602e31c0	184	0.000444	3.162144	[]
0	0	0x602e327c	516	0.000552	7.131670	[]
0	0	0x602e3480	4	0.000449	0.068033	[]
0	0	0x602e3ca8	76	0.000438	1.325298	[]
0	0	0x602e4608	12	0.000401	0.228424	[]
0	0	0x602e4614	156	0.000506	2.353946	[]
0	0	0x602e4e34	4	0.000488	0.062504	[]
0	0	0x602e4e38	36	0.000409	0.670909	[]
0	0	0x602e4e5c	32	0.000415	0.587849	[]
0	0	0x60325030	4	0.000515	0.059271	[]
0	0	0x60325034	184	0.000457	3.069561	[]
0	0	0x603250f0	516	0.000463	8.501948	[]
0	0	0x603252f4	4	0.000442	0.069058	[]
0	0	0x60325b1c	76	0.000455	1.275616	[]
0	0	0x6032647c	12	0.000441	0.207573	[]
0	0	0x60326488	156	0.000444	2.677631	[]
0	0	0x60326ca8	4	0.000440	0.069359	[]
0	0	0x60326cac	36	0.000421	0.652454	[]
0	0	0x60326cd0	32	0.000445	0.548148	[]
0	0	0x60366ea4	4	0.000440	0.069281	[]
0	0	0x60366ea8	184	0.000374	3.756492	[]
0	0	0x60366f64	516	0.000516	7.627576	[]
0	0	0x60367168	4	0.000484	0.063084	[]
0	0	0x60367990	76	0.000492	1.177751	[]
0	0	0x603682f0	12	0.000468	0.195491	[]
0	0	0x603682fc	156	0.000422	2.822940	[]
0	0	0x60368b1c	4	0.000498	0.061284	[]
0	0	0x60368b20	36	0.000419	0.654756	[]
0	0	0x60368b44	32	0.000448	0.544784	[]
0	0	0x603a8d18	4	0.000434	0.070288	[]
0	0	0x603a8d1c	184	0.000461	3.047504	[]
0	0	0x603a8dd8	516	0.000508	7.752107	[]
0	0	0x603a8fdc	4	0.000464	0.065809	[]
0	0	0x603a9804	76	0.000474	1.223039	[]
0	0	0x603aa164	12	0.000423	0.216282	[]
0	0	0x603aa170	156	0.000447	2.663311	[]
0	0	0x603aa990	4	0.000486	0.062760	[]
0	0	0x603aa994	36	0.000410	0.670354	[]
0	0	0x603aa9b8	32	0.000449	0.543583	[]
0	0	0x603eab8c	4	0.000450	0.067764	[]
0	0	0x603eab90	184	0.000456	3.078919	[]
0	0	0x603eac4c	516	0.000527	7.469679	[]
0	0	0x603eae50	4	0.000440	0.069430	[]
0	0	0x603eb678	76	0.000434	1.337496	[]
0	0	0x603ebfd8	12	0.000401	0.228145	[]
0	0	0x603ebfe4	156	0.000403	2.951029	[]
0	0	0x603ec804	4	0.000394	0.077444	[]
0	0	0x603ec808	36	0.000419	0.655631	[]
0	0	0x603ec82c	32	0.000387	0.630835	[]
0	0	0x6042ca00	4	0.000391	0.078034	[]
0	0	0x6042ca04	184	0.000388	3.613667	[]
0	0	0x6042cac0	516	0.000577	6.827412	[]
0	0	0x6042ccc4	4	0.000433	0.070517	[]
0	0	0x6042d4ec	76	0.000428	1.355379	[]
0	0	0x6042de4c	12	0.000427	0.214504	[]
0	0	0x6042de58	156	0.000401	2.969510	[]
0	0	0x6042e678	4	0.000415	0.073474	[]
0	0	0x6042e67c	36	0.000389	0.705933	[]
0	0	0x6042e6a0	32	0.000440	0.555494	[]
0	0	0x6046e874	4	0.000407	0.074965	[]
0	0	0x6046e878	184	0.000373	3.768401	[]
0	0	0x6046e934	516	0.000500	7.875709	[]
0	0	0x6046eb38	4	0.000426	0.071654	[]
0	0	0x6046f360	76	0.000389	1.490607	[]
0	0	0x6046fcc0	12	0.000421	0.217227	[]
0	0	0x6046fccc	156	0.000396	3.007402	[]
0	0	0x604704ec	4	0.000379	0.080538	[]
0	0	0x604704f0	36	0.000387	0.709103	[]
0	0	0x60470514	32	0.000388	0.629485	[]
0	0	0x604b06e8	4	0.000382	0.079908	[]
0	0	0x604b06ec	184	0.000415	3.379967	[]
0	0	0x604b07a8	516	0.000495	7.955911	[]
0	0	0x604b09ac	4	0.000392	0.077807	[]
0	0	0x604b11d4	76	0.000388	1.496299	[]
0	0	0x604b1b34	12	0.000381	0.240264	[]
0	0	0x604b1b40	156	0.000433	2.750717	[]
0	0	0x604b2360	4	0.000407	0.074941	[]
0	0	0x604b2364	36	0.000413	0.665480	[]
0	0	0x604b2388	32	0.000413	0.590550	[]
0	0	0x604f255c	4	0.000400	0.076292	[]
0	0	0x604f2560	184	0.000429	3.271732	[]
0	0	0x604f261c	516	0.000497	7.914024	[]
0	0	0x604f2820	4	0.000377	0.080879	[]
0	0	0x604f3048	76	0.000378	1.534350	[]
0	0	0x604f39a8	12	0.000367	0.249686	[]
0	0	0x604f39b4	156	0.000365	3.262641	[]
0	0	0x604f41d4	4	0.000403	0.075761	[]
0	0	0x604f41d8	36	0.000417	0.658855	[]
0	0	0x604f41fc	32	0.000381	0.640670	[]
0	0	0x605343d0	4	0.000405	0.075428	[]
0	0	0x605343d4	184	0.000375	3.741973	[]
0	0	0x60534490	516	0.000491	8.017171	[]
0	0	0x60534694	4	0.000400	0.076219	[]
0	0	0x60534ebc	76	0.000391	1.483020	[]
0	0	0x6053581c	12	0.000433	0.211286	[]
0	0	0x60535828	156	0.000415	2.868387	[]
0	0	0x60536048	4	0.000414	0.073680	[]
0	0	0x6053604c	36	0.000412	0.666467	[]
0	0	0x60536070	32	0.000401	0.609587	[]
0	0	0x60576244	4	0.000377	0.080927	[]
0	0	0x60576248	184	0.000382	3.678724	[]
0	0	0x60576304	516	0.000478	8.237087	[]
0	0	0x60576508	4	0.000378	0.080760	[]
0	0	0x60576d30	76	0.000363	1.595660	[]
0	0	0x60577690	12	0.000358	0.255804	[]
0	0	0x6057769c	156	0.000370	3.215570	[]
0	0	0x60577ebc	4	0.000380	0.080383	[]
0	0	0x60577ec0	36	0.000378	0.726451	[]
0	0	0x60577ee4	32	0.000388	0.630021	[]
0	0	0x605b80b8	4	0.000354	0.086215	[]
0	0	0x605b80bc	184	0.000376	3.732422	[]
0	0	0x605b8178	516	0.000484	8.139669	[]
0	0	0x605b837c	4	0.000382	0.079868	[]
0	0	0x605b8ba4	76	0.000380	1.525353	[]
0	0	0x605b9504	12	0.000358	0.255611	[]
0	0	0x605b9510	156	0.000384	3.100394	[]
0	0	0x605b9d30	4	0.000374	0.081685	[]
0	0	0x605b9d34	36	0.000394	0.697842	[]
0	0	0x605b9d58	32	0.000367	0.666028	[]
0	0	0x605f9f2c	4	0.000383	0.079765	[]
0	0	0x605f9f30	184	0.000375	3.746767	[]
0	0	0x605f9fec	516	0.000466	8.451590	[]
0	0	0x605fa1f0	4	0.000362	0.084195	[]
0	0	0x605faa18	76	0.000401	1.447551	[]
1	0	0x602601c0	12	0.000366	0.249918	[]
1	0	0x602601cc	156	0.000384	3.099426	[]
1	0	0x602609ec	4	0.000371	0.082200	[]
1	0	0x602609f0	36	0.000398	0.689555	[]
1	0	0x60260a14	32	0.000398	0.613246	[]
1	0	0x602a0be8	4	0.000387	0.078856	[]
1	0	0x602a0bec	184	0.000368	3.816128	[]
1	0	0x602a0ca8	516	0.000471	8.364676	[]
1	0	0x602a0eac	4	0.000369	0.082636	[]
1	0	0x602a16d4	76	0.000362	1.601167	[]
1	0	0x602a2034	12	0.000389	0.235547	[]
1	0	0x602a2040	156	0.000391	3.043237	[]
1	0	0x602a2860	4	0.000365	0.083545	[]
1	0	0x602a2864	36	0.000366	0.751457	[]
1	0	0x602a2888	32	0.000366	0.667669	[]
1	0	0x602e2a5c	4	0.000365	0.083550	[]
1	0	0x602e2a60	184	0.000360	3.902048	[]
1	0	0x602e2b1c	516	0.000467	8.432762	[]
1	0	0x602e2d20	4	0.000387	0.078787	[]
1	0	0x602e3548	76	0.000505	1.148022	[]
1	0	0x602e3ea8	12	0.000369	0.248425	[]
1	0	0x602e3eb4	156	0.000368	3.237525	[]
1	0	0x602e46d4	4	0.000378	0.080772	[]
1	0	0x602e46d8	36	0.000423	0.649507	[]
1	0	0x602e46fc	32	0.000398	0.613169	[]
1	0	0x603248d0	4	0.000393	0.077682	[]
1	0	0x603248d4	184	0.000382	3.672181	[]
1	0	0x60324990	516	0.000501	7.864224	[]
1	0	0x60324b94	4	0.000363	0.084121	[]
1	0	0x603253bc	76	0.000373	1.552799	[]
1	0	0x60325d1c	12	0.000361	0.253833	[]
1	0	0x60325d28	156	0.000364	3.266949	[]
1	0	0x60326548	4	0.000360	0.084811	[]
1	0	0x6032654c	36	0.000363	0.756924	[]
1	0	0x60326570	32	0.000358	0.682546	[]
1	0	0x60366744	4	0.000362	0.084384	[]
1	0	0x60366748	184	0.000358	3.924849	[]
1	0	0x60366804	516	0.000469	8.399656	[]
1	0	0x60366a08	4	0.000357	0.085380	[]
1	0	0x60367230	76	0.000383	1.512695	[]
1	0	0x60367b90	12	0.000413	0.221751	[]
1	0	0x60367b9c	156	0.001315	0.905107	[]
1	0	0x603683bc	4	0.000471	0.064785	[]
1	0	0x603683c0	36	0.000385	0.712598	[]
1	0	0x603683e4	32	0.000390	0.626802	[]
1	0	0x603a85b8	4	0.000383	0.079589	[]
1	0	0x603a85bc	184	0.000359	3.912488	[]
1	0	0x603a8678	516	0.000472	8.343225	[]
1	0	0x603a887c	4	0.000315	0.096782	[]
1	0	0x603a90a4	76	0.000363	1.597330	[]
1	0	0x603a9a04	12	0.000349	0.262320	[]
1	0	0x603a9a10	156	0.000357	3.334208	[]
1	0	0x603aa230	4	0.000360	0.084853	[]
1	0	0x603aa234	36	0.000355	0.772875	[]
1	0	0x603aa258	32	0.000355	0.686788	[]
1	0	0x603ea42c	4	0.000359	0.085113	[]
1	0	0x603ea430	184	0.000352	3.993402	[]
1	0	0x603ea4ec	516	0.000471	8.359347	[]
1	0	0x603ea6f0	4	0.000339	0.089900	[]
1	0	0x603eaf18	76	0.000349	1.662883	[]
1	0	0x603eb878	12	0.000349	0.262704	[]
1	0	0x603eb884	156	0.000357	3.329451	[]
1	0	0x603ec0a4	4	0.000355	0.086006	[]
1	0	0x603ec0a8	36	0.000352	0.779612	[]
1	0	0x603ec0cc	32	0.000353	0.690890	[]
1	0	0x6042c2a0	4	0.000357	0.085514	[]
1	0	0x6042c2a4	184	0.000353	3.981397	[]
1	0	0x6042c360	516	0.000460	8.549603	[]
1	0	0x6042c564	4	0.000353	0.086368	[]
