x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
0	0	0x602439c0	12	0.001236	0.074067	[]
0	0	0x602439cc	4	0.000457	0.066800	[]
0	0	0x602439d0	1224	0.000880	10.612216	[]
0	0	0x60243e98	24	0.000400	0.458323	[]
0	0	0x602549a0	12	0.000439	0.208537	[]
0	0	0x602549ac	156	0.000438	2.720405	[]
0	0	0x602551cc	4	0.000448	0.068134	[]
0	0	0x602551d0	36	0.000444	0.619181	[]
0	0	0x602551f4	32	0.000445	0.548689	[]
0	0	0x6027c598	4	0.000438	0.069611	[]
0	0	0x6027c59c	184	0.000459	3.056196	[]
0	0	0x6027c658	516	0.000520	7.566734	[]
0	0	0x6027c85c	4	0.000459	0.066493	[]
0	0	0x6027cd68	76	0.000455	1.273571	[]
0	0	0x6027d6c8	12	0.000437	0.209530	[]
0	0	0x6027d6d4	156	0.000437	2.725327	[]
0	0	0x6027def4	4	0.000468	0.065165	[]
0	0	0x6027def8	36	0.000448	0.613059	[]
0	0	0x6027df1c	32	0.000441	0.553365	[]
0	0	0x602a52c0	4	0.000434	0.070263	[]
0	0	0x602a52c4	184	0.000435	3.225500	[]
0	0	0x602a5380	516	0.000540	7.287976	[]
0	0	0x602a5584	4	0.000444	0.068668	[]
0	0	0x602a5a90	76	0.000432	1.342295	[]
0	0	0x602a63f0	12	0.000430	0.212952	[]
0	0	0x602a63fc	156	0.000420	2.830796	[]
0	0	0x602a6c1c	4	0.000440	0.069337	[]
0	0	0x602a6c20	36	0.000428	0.641705	[]
0	0	0x602a6c44	32	0.000446	0.547925	[]
0	0	0x602cdfe8	4	0.000395	0.077175	[]
0	0	0x602cdfec	184	0.000429	3.274243	[]
0	0	0x602ce0a8	516	0.000532	7.400732	[]
0	0	0x602ce2ac	4	0.000390	0.078234	[]
0	0	0x602ce7b8	76	0.000440	1.317855	[]
0	0	0x602cf118	12	0.000425	0.215656	[]
0	0	0x602cf124	156	0.000423	2.814596	[]
0	0	0x602cf944	4	0.000418	0.072958	[]
0	0	0x602cf948	36	0.000393	0.699388	[]
0	0	0x602cf96c	32	0.000425	0.573837	[]
0	0	0x602f6d10	4	0.000411	0.074311	[]
0	0	0x602f6d14	184	0.000419	3.349643	[]
0	0	0x602f6dd0	516	0.000525	7.492996	[]
0	0	0x602f6fd4	4	0.000440	0.069309	[]
