x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
0	0	0x602439c0	12	0.001117	0.081927	[]
0	0	0x602439cc	4	0.000452	0.067464	[]
0	0	0x602439d0	1224	0.000730	12.793649	[]
0	0	0x60243e98	24	0.000451	0.406439	[]
0	0	0x602549a0	12	0.000458	0.199804	[]
0	0	0x602549ac	156	0.000442	2.689734	[]
0	0	0x602551cc	4	0.000447	0.068318	[]
0	0	0x602551d0	36	0.000445	0.617359	[]
0	0	0x602551f4	32	0.000450	0.542231	[]
0	0	0x6027c598	4	0.000428	0.071374	[]
0	0	0x6027c59c	184	0.000454	3.090238	[]
0	0	0x6027c658	516	0.000497	7.924377	[]
0	0	0x6027c85c	4	0.000441	0.069163	[]
0	0	0x6027cd68	76	0.000472	1.228850	[]
0	0	0x6027d6c8	12	0.000422	0.216954	[]
0	0	0x6027d6d4	156	0.000388	3.068509	[]
0	0	0x6027def4	4	0.000454	0.067147	[]
0	0	0x6027def8	36	0.000486	0.565161	[]
0	0	0x6027df1c	32	0.000435	0.561693	[]
0	0	0x602a52c0	4	0.000392	0.077793	[]
0	0	0x602a52c4	184	0.000434	3.232854	[]
0	0	0x602a5380	516	0.000547	7.199359	[]
0	0	0x602a5584	4	0.000439	0.069514	[]
0	0	0x602a5a90	76	0.000394	1.471839	[]
0	0	0x602a63f0	12	0.000427	0.214509	[]
0	0	0x602a63fc	156	0.000437	2.723344	[]
0	0	0x602a6c1c	4	0.000444	0.068780	[]
0	0	0x602a6c20	36	0.000428	0.642262	[]
0	0	0x602a6c44	32	0.000447	0.546699	[]
0	0	0x602cdfe8	4	0.000432	0.070716	[]
0	0	0x602cdfec	184	0.000460	3.054999	[]
0	0	0x602ce0a8	516	0.000462	8.512998	[]
0	0	0x602ce2ac	4	0.000394	0.077493	[]
0	0	0x602ce7b8	76	0.000443	1.309909	[]
0	0	0x602cf118	12	0.000416	0.220205	[]
0	0	0x602cf124	156	0.000416	2.859428	[]
0	0	0x602cf944	4	0.000421	0.072571	[]
0	0	0x602cf948	36	0.000419	0.654820	[]
0	0	0x602cf96c	32	0.000431	0.566845	[]
0	0	0x602f6d10	4	0.000413	0.073821	[]
0	0	0x602f6d14	184	0.000420	3.341113	[]
0	0	0x602f6dd0	516	0.000470	8.384450	[]
0	0	0x602f6fd4	4	0.000460	0.066285	[]
0	0	0x602f74e0	76	0.000417	1.389783	[]
0	0	0x602f7e40	12	0.000413	0.221655	[]
0	0	0x602f7e4c	156	0.000418	2.848554	[]
0	0	0x602f866c	4	0.000481	0.063493	[]
0	0	0x602f8670	36	0.000500	0.549008	[]
0	0	0x602f8694	32	0.000457	0.533733	[]
0	0	0x6031fa38	4	0.000410	0.074438	[]
0	0	0x6031fa3c	184	0.000410	3.424500	[]
0	0	0x6031faf8	516	0.000540	7.296918	[]
0	0	0x6031fcfc	4	0.000431	0.070785	[]
0	0	0x60320208	76	0.000373	1.554552	[]
0	0	0x60320b68	12	0.000399	0.229305	[]
0	0	0x60320b74	156	0.000410	2.901320	[]
0	0	0x60321394	4	0.000404	0.075565	[]
0	0	0x60321398	36	0.000398	0.689505	[]
0	0	0x603213bc	32	0.000421	0.579876	[]
0	0	0x60348760	4	0.000401	0.076026	[]
0	0	0x60348764	184	0.000396	3.544783	[]
0	0	0x60348820	516	0.000529	7.445127	[]
0	0	0x60348a24	4	0.000476	0.064133	[]
0	0	0x60348f30	76	0.000455	1.273182	[]
0	0	0x60349890	12	0.000459	0.199652	[]
0	0	0x6034989c	156	0.000466	2.554315	[]
0	0	0x6034a0bc	4	0.000473	0.064539	[]
0	0	0x6034a0c0	36	0.000471	0.583607	[]
0	0	0x6034a0e4	32	0.000496	0.492227	[]
0	0	0x60371488	4	0.000492	0.062020	[]
0	0	0x6037148c	184	0.000505	2.780799	[]
