Tags actually read off the machine
==================================
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=7, port=56165, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=8, port=53438, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=7, port=56165, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=8, port=51201, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.1, destination_x=0, destination_y=0, tag=9, port=51201, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.97, destination_x=12, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.97, destination_x=12, destination_y=0, tag=8, port=38181, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.97, destination_x=12, destination_y=0, tag=9, port=38181, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=8, port=54345, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=9, port=54345, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=10, port=54345, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=11, port=54345, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=12, port=54345, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.177, destination_x=24, destination_y=0, tag=13, port=54345, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=8, port=56217, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=9, port=56217, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=10, port=56217, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=11, port=56217, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=12, port=56217, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=13, port=56217, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.81, destination_x=36, destination_y=0, tag=14, port=56217, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=8, port=58220, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=9, port=58220, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=10, port=58220, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=11, port=58220, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=12, port=58220, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=13, port=58220, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.9, destination_x=0, destination_y=12, tag=14, port=58220, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=8, port=52821, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=9, port=52821, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=10, port=52821, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=11, port=52821, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=12, port=52821, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=13, port=52821, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.105, destination_x=12, destination_y=12, tag=14, port=52821, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=8, port=32880, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=9, port=32880, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=10, port=32880, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=11, port=32880, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=12, port=32880, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=13, port=32880, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.89, destination_x=36, destination_y=12, tag=14, port=32880, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=8, port=39822, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=9, port=39822, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=10, port=39822, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=11, port=39822, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=12, port=39822, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=13, port=39822, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=14, port=39822, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=8, port=54334, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=9, port=54334, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=10, port=54334, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=11, port=54334, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=12, port=54334, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=13, port=54334, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=14, port=54334, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=8, port=45413, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=9, port=45413, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=10, port=45413, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=11, port=45413, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=12, port=45413, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=13, port=45413, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
