x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
0	0	0x602439c0	12	0.001202	0.076179	[]
0	0	0x602439cc	4	0.000468	0.065161	[]
0	0	0x602439d0	1224	0.000786	11.881706	[]
0	0	0x60243e98	24	0.000458	0.399774	[]
0	0	0x602549a0	12	0.000448	0.204353	[]
0	0	0x602549ac	156	0.000460	2.587624	[]
0	0	0x602551cc	4	0.000346	0.088221	[]
0	0	0x602551d0	36	0.000421	0.652390	[]
0	0	0x602551f4	32	0.000447	0.546723	[]
0	0	0x6027c598	4	0.000468	0.065166	[]
0	0	0x6027c59c	184	0.000421	3.337530	[]
0	0	0x6027c658	516	0.000506	7.777805	[]
0	0	0x6027c85c	4	0.000455	0.067034	[]
0	0	0x6027cd68	76	0.000449	1.291122	[]
0	0	0x6027d6c8	12	0.000394	0.232419	[]
0	0	0x6027d6d4	156	0.000454	2.619287	[]
0	0	0x6027def4	4	0.000440	0.069437	[]
0	0	0x6027def8	36	0.000474	0.578858	[]
0	0	0x6027df1c	32	0.000446	0.547925	[]
0	0	0x602a52c0	4	0.000437	0.069815	[]
0	0	0x602a52c4	184	0.000442	3.179253	[]
0	0	0x602a5380	516	0.000526	7.477752	[]
0	0	0x602a5584	4	0.000361	0.084503	[]
0	0	0x602a5a90	76	0.000405	1.432814	[]
0	0	0x602a63f0	12	0.000432	0.211995	[]
0	0	0x602a63fc	156	0.000443	2.686692	[]
0	0	0x602a6c1c	4	0.000423	0.072128	[]
0	0	0x602a6c20	36	0.000424	0.647637	[]
0	0	0x602a6c44	32	0.000431	0.566159	[]
0	0	0x602cdfe8	4	0.000474	0.064318	[]
0	0	0x602cdfec	184	0.000472	2.972703	[]
0	0	0x602ce0a8	516	0.000507	7.758646	[]
0	0	0x602ce2ac	4	0.000400	0.076322	[]
0	0	0x602ce7b8	76	0.000412	1.407115	[]
0	0	0x602cf118	12	0.000426	0.215153	[]
0	0	0x602cf124	156	0.000440	2.706302	[]
0	0	0x602cf944	4	0.000423	0.072082	[]
0	0	0x602cf948	36	0.000432	0.635955	[]
0	0	0x602cf96c	32	0.000430	0.567277	[]
0	0	0x602f6d10	4	0.000438	0.069623	[]
0	0	0x602f6d14	184	0.000428	3.281207	[]
0	0	0x602f6dd0	516	0.000551	7.150427	[]
0	0	0x602f6fd4	4	0.000476	0.064065	[]
0	0	0x602f74e0	76	0.000409	1.417299	[]
0	0	0x602f7e40	12	0.000419	0.218471	[]
0	0	0x602f7e4c	156	0.000465	2.561064	[]
0	0	0x602f866c	4	0.000458	0.066617	[]
0	0	0x602f8670	36	0.000410	0.669926	[]
0	0	0x602f8694	32	0.000442	0.551939	[]
0	0	0x6031fa38	4	0.000411	0.074250	[]
0	0	0x6031fa3c	184	0.000426	3.294846	[]
0	0	0x6031faf8	516	0.000546	7.210540	[]
0	0	0x6031fcfc	4	0.000409	0.074554	[]
0	0	0x60320208	76	0.000343	1.688794	[]
0	0	0x60320b68	12	0.000398	0.230066	[]
0	0	0x60320b74	156	0.000426	2.791157	[]
0	0	0x60321394	4	0.000466	0.065498	[]
0	0	0x60321398	36	0.000405	0.678348	[]
0	0	0x603213bc	32	0.000445	0.548738	[]
0	0	0x60348760	4	0.000406	0.075221	[]
0	0	0x60348764	184	0.000417	3.368443	[]
0	0	0x60348820	516	0.000512	7.683552	[]
0	0	0x60348a24	4	0.000478	0.063887	[]
0	0	0x60348f30	76	0.000458	1.265728	[]
0	0	0x60349890	12	0.000395	0.231713	[]
0	0	0x6034989c	156	0.000407	2.920966	[]
0	0	0x6034a0bc	4	0.000395	0.077189	[]
0	0	0x6034a0c0	36	0.000424	0.647560	[]
0	0	0x6034a0e4	32	0.000408	0.598761	[]
0	0	0x60371488	4	0.000396	0.077019	[]
0	0	0x6037148c	184	0.000405	3.470110	[]
0	0	0x60371548	516	0.000459	8.574351	[]
0	0	0x6037174c	4	0.000412	0.074001	[]
0	0	0x60371c58	76	0.000406	1.427800	[]
0	0	0x603725b8	12	0.000387	0.236710	[]
0	0	0x603725c4	156	0.000358	3.322944	[]
0	0	0x60372de4	4	0.000404	0.075555	[]
0	0	0x60372de8	36	0.000407	0.674847	[]
0	0	0x60372e0c	32	0.000403	0.605413	[]
0	0	0x6039a1b0	4	0.000407	0.075044	[]
0	0	0x6039a1b4	184	0.000378	3.713465	[]
0	0	0x6039a270	516	0.000521	7.549901	[]
0	0	0x6039a474	4	0.000395	0.077318	[]
0	0	0x6039a980	76	0.000388	1.493178	[]
0	0	0x6039b2e0	12	0.000400	0.229150	[]
0	0	0x6039b2ec	156	0.000376	3.163007	[]
0	0	0x6039bb0c	4	0.000370	0.082375	[]
0	0	0x6039bb10	36	0.000381	0.721772	[]
0	0	0x6039bb34	32	0.000375	0.651003	[]
0	0	0x603c2ed8	4	0.000367	0.083052	[]
0	0	0x603c2edc	184	0.000389	3.609115	[]
0	0	0x603c2f98	516	0.000485	8.119173	[]
0	0	0x603c319c	4	0.000370	0.082388	[]
0	0	0x603c36a8	76	0.000367	1.579490	[]
0	0	0x603c4008	12	0.000362	0.252892	[]
0	0	0x603c4014	156	0.000365	3.257632	[]
0	0	0x603c4834	4	0.000372	0.082029	[]
0	0	0x603c4838	36	0.000388	0.707202	[]
0	0	0x603c485c	32	0.000383	0.637338	[]
0	0	0x603ebc00	4	0.000367	0.083165	[]
0	0	0x603ebc04	184	0.000372	3.775678	[]
0	0	0x603ebcc0	516	0.000481	8.189605	[]
0	0	0x603ebec4	4	0.000371	0.082313	[]
0	0	0x603ec3d0	76	0.000367	1.578200	[]
0	0	0x603ecd30	12	0.000368	0.248526	[]
0	0	0x603ecd3c	156	0.000404	2.945479	[]
0	0	0x603ed55c	4	0.000387	0.078767	[]
0	0	0x603ed560	36	0.000441	0.622705	[]
0	0	0x603ed584	32	0.000365	0.668875	[]
0	0	0x60414928	4	0.000377	0.081030	[]
0	0	0x6041492c	184	0.000356	3.944036	[]
0	0	0x604149e8	516	0.000466	8.454658	[]
0	0	0x60414bec	4	0.000360	0.084867	[]
0	0	0x604150f8	76	0.000373	1.555382	[]
0	0	0x60415a58	12	0.000353	0.259391	[]
0	0	0x60415a64	156	0.007723	0.154100	[]
0	0	0x60416284	4	0.000429	0.071100	[]
0	0	0x60416288	36	0.000406	0.675894	[]
0	0	0x604162ac	32	0.000421	0.580399	[]
0	0	0x6043d650	4	0.000407	0.075037	[]
0	0	0x6043d654	184	0.000422	3.328588	[]
0	0	0x6043d710	516	0.000529	7.439879	[]
0	0	0x6043d914	4	0.001606	0.019007	[]
0	0	0x6043de20	76	0.000513	1.131002	[]
0	0	0x6043e780	12	0.000359	0.255191	[]
0	0	0x6043e78c	156	0.000359	3.312586	[]
0	0	0x6043efac	4	0.000363	0.084005	[]
0	0	0x6043efb0	36	0.000359	0.764209	[]
0	0	0x6043efd4	32	0.000359	0.680092	[]
0	0	0x60466378	4	0.000359	0.084943	[]
0	0	0x6046637c	184	0.000358	3.920902	[]
0	0	0x60466438	516	0.000463	8.495160	[]
0	0	0x6046663c	4	0.000365	0.083657	[]
0	0	0x60466b48	76	0.000334	1.736071	[]
0	0	0x604674a8	12	0.000354	0.258951	[]
0	0	0x604674b4	156	0.000364	3.272060	[]
0	0	0x60467cd4	4	0.000354	0.086147	[]
0	0	0x60467cd8	36	0.000362	0.759119	[]
0	0	0x60467cfc	32	0.000369	0.661443	[]
0	0	0x6048f0a0	4	0.000363	0.083968	[]
0	0	0x6048f0a4	184	0.000321	4.372255	[]
0	0	0x6048f160	516	0.000464	8.493144	[]
0	0	0x6048f364	4	0.000357	0.085567	[]
0	0	0x6048f870	76	0.000369	1.569613	[]
1	0	0x60253d00	12	0.000367	0.249624	[]
1	0	0x60253d0c	156	0.000370	3.213140	[]
1	0	0x6025452c	4	0.000370	0.082386	[]
1	0	0x60254530	36	0.000374	0.735261	[]
1	0	0x60254554	32	0.000376	0.649531	[]
1	0	0x6027b8f8	4	0.000378	0.080839	[]
1	0	0x6027b8fc	184	0.000384	3.653734	[]
1	0	0x6027b9b8	516	0.000478	8.243279	[]
1	0	0x6027bbbc	4	0.000363	0.084037	[]
1	0	0x6027c0c8	76	0.000368	1.574169	[]
1	0	0x6027ca28	12	0.000364	0.251447	[]
1	0	0x6027ca34	156	0.000368	3.237252	[]
1	0	0x6027d254	4	0.000378	0.080796	[]
1	0	0x6027d258	36	0.000374	0.734355	[]
1	0	0x6027d27c	32	0.000362	0.674567	[]
1	0	0x602a4620	4	0.000366	0.083474	[]
1	0	0x602a4624	184	0.000385	3.649081	[]
1	0	0x602a46e0	516	0.000471	8.353653	[]
1	0	0x602a48e4	4	0.000365	0.083554	[]
1	0	0x602a4df0	76	0.000366	1.586404	[]
1	0	0x602a5750	12	0.000363	0.252286	[]
1	0	0x602a575c	156	0.000373	3.188598	[]
1	0	0x602a5f7c	4	0.000369	0.082701	[]
1	0	0x602a5f80	36	0.000381	0.721526	[]
1	0	0x602a5fa4	32	0.000371	0.658785	[]
1	0	0x602cd348	4	0.000384	0.079487	[]
1	0	0x602cd34c	184	0.000393	3.571914	[]
1	0	0x602cd408	516	0.000480	8.194019	[]
1	0	0x602cd60c	4	0.000372	0.082120	[]
1	0	0x602cdb18	76	0.000375	1.545639	[]
1	0	0x602ce478	12	0.000358	0.255932	[]
1	0	0x602ce484	156	0.000371	3.203790	[]
1	0	0x602ceca4	4	0.000359	0.084959	[]
1	0	0x602ceca8	36	0.000373	0.736049	[]
1	0	0x602ceccc	32	0.000370	0.659533	[]
1	0	0x602f6070	4	0.000361	0.084466	[]
1	0	0x602f6074	184	0.000335	4.196461	[]
1	0	0x602f6130	516	0.000465	8.457200	[]
1	0	0x602f6334	4	0.000355	0.085885	[]
1	0	0x602f6840	76	0.000354	1.640066	[]
1	0	0x602f71a0	12	0.000359	0.255297	[]
1	0	0x602f71ac	156	0.000367	3.247242	[]
1	0	0x602f79cc	4	0.000358	0.085165	[]
1	0	0x602f79d0	36	0.000362	0.758718	[]
1	0	0x602f79f4	32	0.000364	0.670583	[]
1	0	0x6031ed98	4	0.000373	0.081711	[]
1	0	0x6031ed9c	184	0.000364	3.857232	[]
1	0	0x6031ee58	516	0.000473	8.329615	[]
1	0	0x6031f05c	4	0.000364	0.083885	[]
1	0	0x6031f568	76	0.000369	1.569652	[]
1	0	0x6031fec8	12	0.000350	0.261630	[]
1	0	0x6031fed4	156	0.000363	3.278640	[]
1	0	0x603206f4	4	0.000364	0.083943	[]
1	0	0x603206f8	36	0.000364	0.755236	[]
1	0	0x6032071c	32	0.000370	0.660316	[]
1	0	0x60347ac0	4	0.000356	0.085800	[]
1	0	0x60347ac4	184	0.000359	3.913688	[]
1	0	0x60347b80	516	0.000469	8.390329	[]
1	0	0x60347d84	4	0.000359	0.085018	[]
1	0	0x60348290	76	0.000355	1.633464	[]
1	0	0x60348bf0	12	0.000355	0.257763	[]
1	0	0x60348bfc	156	0.000360	3.305034	[]
1	0	0x6034941c	4	0.000359	0.084990	[]
1	0	0x60349420	36	0.000335	0.821047	[]
1	0	0x60349444	32	0.000362	0.673655	[]
1	0	0x603707e8	4	0.000363	0.084135	[]
1	0	0x603707ec	184	0.000360	3.895000	[]
1	0	0x603708a8	516	0.000472	8.343385	[]
1	0	0x60370aac	4	0.000358	0.085261	[]
1	0	0x60370fb8	76	0.000366	1.583195	[]
1	0	0x60371918	12	0.000353	0.259553	[]
1	0	0x60371924	156	0.000364	3.267837	[]
1	0	0x60372144	4	0.000360	0.084775	[]
1	0	0x60372148	36	0.000354	0.775078	[]
1	0	0x6037216c	32	0.000369	0.662322	[]
1	0	0x60399510	4	0.000360	0.084742	[]
1	0	0x60399514	184	0.000363	3.867966	[]
1	0	0x603995d0	516	0.000465	8.462836	[]
1	0	0x603997d4	4	0.000372	0.082023	[]
1	0	0x60399ce0	76	0.000360	1.609300	[]
1	0	0x6039a640	12	0.000359	0.254672	[]
1	0	0x6039a64c	156	0.000362	3.283787	[]
1	0	0x6039ae6c	4	0.000359	0.085085	[]
1	0	0x6039ae70	36	0.000356	0.771572	[]
1	0	0x6039ae94	32	0.000364	0.670655	[]
1	0	0x603c2238	4	0.000362	0.084253	[]
1	0	0x603c223c	184	0.000372	3.774562	[]
1	0	0x603c22f8	516	0.000461	8.544390	[]
1	0	0x603c24fc	4	0.000354	0.086271	[]
1	0	0x603c2a08	76	0.000349	1.660026	[]
1	0	0x603c3368	12	0.000351	0.260788	[]
1	0	0x603c3374	156	0.000360	3.302017	[]
1	0	0x603c3b94	4	0.000354	0.086288	[]
1	0	0x603c3b98	36	0.000351	0.783544	[]
1	0	0x603c3bbc	32	0.000350	0.698239	[]
1	0	0x603eaf60	4	0.000353	0.086422	[]
1	0	0x603eaf64	184	0.000349	4.023965	[]
1	0	0x603eb020	516	0.000457	8.613750	[]
1	0	0x603eb224	4	0.000351	0.087068	[]
1	0	0x603eb730	76	0.000348	1.668145	[]
1	0	0x603ec090	12	0.000358	0.255961	[]
1	0	0x603ec09c	156	0.000372	3.202505	[]
1	0	0x603ec8bc	4	0.000351	0.086914	[]
1	0	0x603ec8c0	36	0.000355	0.773267	[]
1	0	0x603ec8e4	32	0.000354	0.690185	[]
1	0	0x60413c88	4	0.000352	0.086756	[]
1	0	0x60413c8c	184	0.000353	3.978012	[]
1	0	0x60413d48	516	0.000452	8.704021	[]
1	0	0x60413f4c	4	0.000351	0.086991	[]
1	0	0x60414458	76	0.000352	1.647574	[]
1	0	0x60414db8	12	0.000387	0.236844	[]
1	0	0x60414dc4	156	0.000461	2.580275	[]
1	0	0x604155e4	4	0.000399	0.076477	[]
1	0	0x604155e8	36	0.000406	0.676227	[]
1	0	0x6041560c	32	0.000395	0.618731	[]
1	0	0x6043c9b0	4	0.000393	0.077633	[]
1	0	0x6043c9b4	184	0.000389	3.608642	[]
1	0	0x6043ca70	516	0.000504	7.805719	[]
1	0	0x6043cc74	4	0.000400	0.076375	[]
1	0	0x6043d180	76	0.000396	1.465067	[]
1	0	0x6043dae0	12	0.000391	0.234053	[]
1	0	0x6043daec	156	0.000378	3.150698	[]
1	0	0x6043e30c	4	0.000351	0.086929	[]
1	0	0x6043e310	36	0.000352	0.779699	[]
1	0	0x6043e334	32	0.000360	0.678955	[]
1	0	0x604656d8	4	0.000355	0.086064	[]
1	0	0x604656dc	184	0.000351	3.995675	[]
1	0	0x60465798	516	0.000457	8.613372	[]
1	0	0x6046599c	4	0.000349	0.087488	[]
1	0	0x60465ea8	76	0.000352	1.646124	[]
1	0	0x60466808	12	0.000395	0.231549	[]
1	0	0x60466814	156	0.000366	3.248119	[]
1	0	0x60467034	4	0.000391	0.078079	[]
1	0	0x60467038	36	0.000375	0.732223	[]
1	0	0x6046705c	32	0.000369	0.662216	[]
1	0	0x6048e400	4	0.000376	0.081243	[]
1	0	0x6048e404	184	0.000359	3.907696	[]
1	0	0x6048e4c0	516	0.000472	8.346215	[]
1	0	0x6048e6c4	4	0.000398	0.076617	[]
1	0	0x6048ebd0	76	0.000402	1.441215	[]
1	0	0x6048f530	12	0.000403	0.227272	[]
1	0	0x6048f53c	156	0.000403	2.956527	[]
1	0	0x6048fd5c	4	0.000435	0.070179	[]
1	0	0x6048fd60	36	0.000389	0.705295	[]
1	0	0x6048fd84	32	0.000393	0.621266	[]
1	0	0x604b7128	4	0.000399	0.076471	[]
1	0	0x604b712c	184	0.000405	3.469938	[]
1	0	0x604b71e8	516	0.000506	7.784743	[]
1	0	0x604b73ec	4	0.000398	0.076740	[]
1	0	0x604b78f8	76	0.000394	1.471466	[]
1	0	0x604b8258	12	0.000397	0.230441	[]
1	0	0x604b8264	156	0.000396	3.003676	[]
1	0	0x604b8a84	4	0.000415	0.073566	[]
1	0	0x604b8a88	36	0.000391	0.702645	[]
1	0	0x604b8aac	32	0.000412	0.593176	[]
1	0	0x604dfe50	4	0.000427	0.071474	[]
1	0	0x604dfe54	184	0.000424	3.312486	[]
1	0	0x604dff10	516	0.000503	7.820466	[]
1	0	0x604e0114	4	0.000393	0.077690	[]
1	0	0x604e0620	76	0.000390	1.486095	[]
1	1	0x60253e80	12	0.000388	0.236160	[]
1	1	0x60253e8c	156	0.000404	2.943512	[]
1	1	0x602546ac	4	0.000401	0.076094	[]
1	1	0x602546b0	36	0.000384	0.714915	[]
1	1	0x602546d4	32	0.000348	0.701670	[]
